Nome,Idade,Sexo,Turma,Rm,Pontuacao,Num_simulacoes,Num_insignias
Isabel Lopez,38,F,8LPNY,458487,555,1,3
Dr. Susan Santiago,25,F,8LPNX,232614,185,1,1
Michael Jenkins,28,M,7LPNY,281112,740,1,4
Anthony Lee,20,M,8LPNY,993275,0,2,0
Brandi Mitchell,41,F,6LPNZ,560562,1850,3,10
Brian Gray,34,M,2LPNZ,533594,1480,3,8
William Bradley,25,M,6LPNX,555666,0,1,0
Eduardo Curry,20,M,10LPNW,256486,925,3,5
Brett Garcia,27,M,4LPNY,465096,1480,2,8
Andrew Johnson,23,M,7LPNZ,868144,925,2,5
Heather Hill,48,F,3LPNZ,793136,370,1,2
Dr. Jasmine Gibson,18,F,6LPNY,835831,370,1,2
Jacob Clark,23,M,5LPNY,563656,1110,2,6
Elizabeth Morgan,20,F,3LPNZ,849167,925,2,5
Leslie Turner,23,F,8LPNX,881344,1850,2,10
Patricia Barber,40,F,10LPNW,189611,0,3,0
Alexander Jefferson,43,M,9LPNX,710994,925,1,5
Paul Gamble,18,M,9LPNX,875673,370,2,2
Nancy Winters,29,F,5LPNY,563322,1110,3,6
Amber Rodriguez,23,F,8LPNY,639505,1665,2,9
Christine Rodriguez,42,F,7LPNZ,458575,740,2,4
Todd James,26,M,7LPNX,971949,185,1,1
David Walters,42,M,2LPNZ,136685,185,1,1
Barry Gomez,32,M,5LPNZ,764195,1480,2,8
Kevin Heath,21,M,6LPNZ,132411,0,2,0
Lori Chung,41,F,8LPNY,534637,185,1,1
Christy Bauer,41,F,7LPNX,288588,2220,3,12
Mrs. Alyssa Chambers DVM,29,F,1LPNW,453618,185,2,1
Angelica Herman,23,F,3LPNX,480373,0,2,0
Patrick Fisher,20,M,4LPNY,482173,555,3,3
Kyle Coleman,48,M,2LPNW,768406,740,1,4
David Lane,35,M,9LPNZ,676267,1110,2,6
Erica Rivera,31,F,4LPNX,692068,555,3,3
Sarah Jimenez,29,F,3LPNW,143885,740,1,4
Jonathan Brown,23,M,10LPNY,654291,740,3,4
Donald Howe,44,M,2LPNX,790669,2405,3,13
Gary Reid,48,M,6LPNW,321670,1110,2,6
Dana Richards,41,F,4LPNW,330736,1110,3,6
Dr. Martin Hebert,42,M,3LPNZ,676801,925,1,5
Dr. Jamie Wood,33,F,3LPNW,701164,1665,3,9
Kim Price,18,F,1LPNZ,335570,925,2,5
Stephen Allen,31,M,6LPNX,533560,370,1,2
James Reed,25,M,2LPNX,968301,925,1,5
Alicia Clark,28,F,2LPNX,657694,185,1,1
Francisco Henderson,39,M,3LPNW,904063,1665,3,9
Cassidy Winters,47,F,7LPNX,136721,185,1,1
Robert Zimmerman,49,M,10LPNX,279159,740,2,4
Casey Clark,24,F,5LPNY,615762,555,2,3
Michael Torres,40,M,9LPNY,359562,555,1,3
William Simon,22,M,10LPNY,749250,0,1,0
William Rivera,44,M,4LPNY,111702,0,1,0
Yvonne Patel,18,F,7LPNX,438342,740,1,4
Tiffany Waters,39,F,8LPNZ,687042,185,2,1
Veronica Freeman,50,F,3LPNX,308060,0,2,0
Elizabeth Marshall,24,F,9LPNY,614485,555,1,3
Charles Perez,19,M,3LPNY,244094,1295,2,7
Daniel Miller,43,M,8LPNW,930395,185,1,1
John Hill,38,M,1LPNW,864051,925,2,5
Charles Lam,27,M,3LPNW,928411,1295,2,7
Robert Garrett,32,M,1LPNY,471920,1295,3,7
Phillip Nelson,23,M,3LPNZ,754519,2035,3,11
Alan Brown,45,M,10LPNW,276406,185,1,1
Andre Erickson,43,M,8LPNW,733981,1480,3,8
Kurt Gomez,39,M,4LPNY,799225,2035,3,11
Nicholas Bates,22,M,7LPNY,213289,2590,3,14
Walter Sharp,46,M,8LPNX,575563,0,1,0
Ethan Gutierrez,22,M,10LPNY,817471,1480,2,8
Sandra Smith,41,F,8LPNY,341451,370,1,2
Vincent Price,41,M,7LPNX,617922,0,1,0
John Nelson,29,M,4LPNY,259594,185,2,1
Linda Myers,22,F,1LPNZ,345035,1850,2,10
Cody Horne,38,M,8LPNW,640837,2035,3,11
Ms. Daisy Russo,41,F,7LPNX,838379,0,1,0
Christopher Dixon,42,M,10LPNX,308049,0,1,0
Julie Luna,18,F,1LPNW,322428,0,1,0
Adrian Kramer,23,M,7LPNZ,892706,555,1,3
Susan Fuentes,28,F,9LPNZ,240956,0,2,0
Lori Smith,24,F,5LPNY,974112,0,1,0
Katrina Parsons,28,F,7LPNY,687602,555,2,3
Bobby Jacobs,32,M,4LPNY,181151,555,1,3
Nicole Franco,39,F,3LPNY,929429,0,2,0
Lisa Brown,34,F,9LPNY,121669,0,1,0
Alison Chandler,36,F,10LPNZ,641149,370,1,2
Sarah Thompson,30,F,8LPNZ,930778,0,1,0
Joseph Olson,49,M,1LPNW,329578,0,1,0
Dylan Smith,29,M,3LPNW,872425,370,1,2
Jacob Thompson,46,M,1LPNW,108425,1110,3,6
Christine Erickson,34,F,5LPNW,763747,0,1,0
Carl Valenzuela,47,M,2LPNX,955276,2775,3,15
Michelle Smith,37,F,6LPNZ,458716,1480,3,8
Daniel Vaughn,48,M,1LPNX,536520,740,1,4
Michael Martinez MD,34,M,5LPNY,530628,0,2,0
Kimberly Wright,47,F,7LPNZ,937268,925,2,5
Cathy Smith,26,F,1LPNX,919164,555,1,3
Kara Miller,28,F,3LPNZ,896482,2405,3,13
Mark Bryant,34,M,7LPNW,295432,0,1,0
Jeffrey Perry,31,M,9LPNZ,902683,925,1,5
Richard Davidson,38,M,8LPNY,532560,555,1,3
Jason Taylor,21,M,7LPNZ,743539,185,1,1
Ashley Scott,39,F,2LPNW,415878,1850,2,10
Corey Chavez,35,M,3LPNX,552903,185,2,1
Stephen Juarez,34,M,3LPNY,406437,0,2,0
Shawn Frank,30,M,4LPNW,415228,2035,3,11
Stephanie Swanson,38,F,2LPNY,305007,740,3,4
Douglas Burnett,44,M,3LPNY,267389,2220,3,12
John Henry,43,M,3LPNX,593853,0,1,0
Dana Warren,19,F,10LPNY,469841,370,3,2
Jesse Smith,23,M,4LPNY,860405,925,3,5
Pamela Cummings,31,F,10LPNY,119040,1110,2,6
Arthur White,46,M,10LPNZ,380383,0,1,0
Jessica Taylor,35,F,6LPNZ,223433,185,3,1
Tony Winters,22,M,6LPNW,108472,925,3,5
Courtney Mitchell,42,F,8LPNX,228296,2035,3,11
Kaylee Bonilla,35,F,8LPNY,269508,1850,3,10
George Payne,41,M,7LPNY,908482,740,3,4
Robert Brown,42,M,4LPNY,495658,555,1,3
Tonya Gonzalez,29,F,5LPNY,470678,740,2,4
Janice Pierce,32,F,8LPNW,764517,1665,3,9
Christopher Winters,26,M,6LPNY,650408,555,1,3
Barbara Moore,38,F,10LPNW,663568,370,1,2
Christopher Garza,39,M,1LPNX,607917,555,1,3
Jose Jones,38,M,4LPNX,302543,740,2,4
Jacob White,46,M,9LPNW,961661,370,3,2
Mario Cooper,29,M,2LPNZ,705241,925,1,5
Jodi Patrick,35,F,9LPNW,717752,370,3,2
Dale Oneal,47,M,9LPNY,687820,185,3,1
Sean Gentry,50,M,8LPNZ,887616,740,3,4
Justin Martin,32,M,10LPNZ,722893,0,1,0
Amy Bryan,49,F,4LPNY,336447,2775,3,15
Doris Gomez,24,F,3LPNX,986250,0,1,0
Tonya Navarro,23,F,9LPNW,298728,925,2,5
Carrie Carroll,28,F,3LPNW,991674,1850,3,10
Jason Smith,18,M,6LPNX,185645,185,1,1
Dominique Miller,42,F,9LPNX,814274,185,3,1
Christopher Wood,41,M,6LPNY,285662,1850,2,10
Michelle Baker,48,F,6LPNW,436259,2035,3,11
Kimberly Thornton,43,F,3LPNX,284789,555,1,3
James Nelson,36,M,3LPNW,166975,370,2,2
Robin Brooks,26,F,5LPNZ,254836,185,1,1
Gary Mata,27,M,3LPNY,395024,2035,3,11
James Mcconnell,24,M,1LPNY,125495,370,1,2
Tina Martinez,22,F,2LPNY,590303,925,1,5
Kyle Ellis,50,M,4LPNZ,178614,555,2,3
Pamela Morales,29,F,2LPNZ,925518,1295,3,7
Brian Mcdonald,27,M,2LPNW,721585,1850,2,10
Dustin Rhodes,18,M,5LPNW,532719,555,2,3
Robin Johnston,26,F,4LPNW,339361,555,2,3
Douglas Jackson,31,M,2LPNZ,851992,0,2,0
Zachary Robinson,28,M,3LPNZ,980495,555,2,3
Dr. Aaron Long,26,M,6LPNX,405755,185,1,1
Vanessa Stewart,35,F,10LPNZ,427725,0,1,0
Amber Ray,48,F,3LPNX,495899,1480,2,8
Erin Lewis,40,F,5LPNY,943603,1665,3,9
John Wall,28,M,8LPNY,284570,0,1,0
Maria Vasquez,39,F,6LPNX,290877,740,1,4
Alexis Pittman,45,F,3LPNZ,154101,1480,2,8
Grant Lester,43,M,2LPNX,756031,925,1,5
Douglas Huber,25,M,2LPNW,478959,0,1,0
Chad Sanchez,23,M,8LPNZ,495623,740,1,4
Joshua Thornton,21,M,9LPNZ,332229,740,2,4
Bryce Martin,49,M,6LPNY,350630,0,1,0
Sara Parker,33,F,5LPNY,771042,1850,2,10
Megan Hill,23,F,9LPNX,702893,185,3,1
Julie Gates,41,F,8LPNY,538276,740,3,4
Nicholas Hawkins,50,M,8LPNZ,254443,925,3,5
Benjamin Miller,38,M,2LPNW,651188,1850,2,10
James Davis,30,M,5LPNZ,123845,0,2,0
Cory Estrada,46,M,2LPNW,754182,925,2,5
Maria Morales,24,F,8LPNW,656590,555,1,3
Tammy Molina,43,F,9LPNX,137073,1480,3,8
Jordan Riddle,22,M,8LPNY,537047,0,1,0
Annette Ortiz,50,F,8LPNW,171094,0,2,0
Anthony Fisher,20,M,3LPNY,895543,925,1,5
William Griffin,35,M,10LPNW,626948,925,1,5
Carlos Navarro,29,M,4LPNZ,402020,0,1,0
Olivia Duncan,40,F,10LPNW,197980,185,1,1
Felicia Franklin,39,F,10LPNZ,270081,370,3,2
Mrs. Molly Anderson DDS,36,F,9LPNZ,215625,1850,2,10
Samantha Carpenter,27,F,5LPNX,278729,925,1,5
Grant Nelson,48,M,6LPNW,848748,925,2,5
Jacob Huang,34,M,10LPNX,777710,1665,3,9
Jason Fernandez,49,M,1LPNZ,759161,1665,3,9
Matthew Herrera,46,M,8LPNZ,430806,740,3,4
Erin Vasquez,37,F,7LPNY,661348,0,1,0
Colleen Hart,20,F,5LPNW,746835,0,2,0
Nicholas Green,46,M,9LPNZ,627495,185,1,1
Austin Solis,22,M,10LPNW,398204,1665,2,9
Dr. Michael Levy,41,M,10LPNY,696592,0,1,0
Theodore Taylor,28,M,5LPNZ,603928,2590,3,14
Christine Tucker,28,F,9LPNZ,865532,1110,2,6
Alexandra Obrien,39,F,2LPNW,547123,370,2,2
Lisa Donovan,40,F,8LPNZ,375471,185,1,1
Aaron Carlson,34,M,5LPNW,467468,1480,2,8
Vanessa Torres,49,F,7LPNY,795262,1295,2,7
Tom Campbell,20,M,9LPNY,555040,555,1,3
Darius Carter,26,M,3LPNY,612427,740,1,4
Sandra Coffey,28,F,7LPNY,379472,740,2,4
Bonnie Baker,36,F,6LPNY,114432,1665,2,9
Ronnie Hansen,35,M,9LPNW,820771,1665,2,9
Michael Buchanan,30,M,4LPNY,781012,370,3,2
Leah Moran,43,F,10LPNY,514106,740,2,4
Brooke Davis,40,F,4LPNZ,823491,1665,2,9
Gabriela Adams,50,F,4LPNZ,231774,925,1,5
Karen Walsh,42,F,1LPNZ,333485,2775,3,15
James Evans,30,M,7LPNZ,973609,925,3,5
Kara Jordan,38,F,2LPNW,455934,370,1,2
Charles Brooks,19,M,10LPNW,607800,555,2,3
Stephanie Nichols,50,F,1LPNY,851911,2775,3,15
Annette Johnson,28,F,1LPNZ,276136,185,3,1
Christopher Burch,36,M,10LPNZ,456558,0,3,0
Mr. Tony Weeks,48,M,2LPNY,182139,370,3,2
Alicia Flores,50,F,9LPNX,311118,740,2,4
Timothy Pittman,42,M,4LPNZ,215816,2775,3,15
Mark Evans,25,M,8LPNX,952542,740,2,4
Erika Dillon,23,F,9LPNX,801206,185,2,1
Julia Le,19,F,1LPNX,172609,0,1,0
Richard Jackson,29,M,5LPNW,367092,370,3,2
Philip Hunter,23,M,7LPNZ,179451,0,3,0
Erin Johnson,36,F,10LPNX,419177,0,2,0
Amber Lopez,32,F,1LPNW,857601,0,1,0
Christine Martinez,35,F,1LPNZ,292362,185,1,1
Claudia Anderson,27,F,10LPNY,610499,555,1,3
Darlene Cook,50,F,9LPNW,763915,0,3,0
Christy Galloway,37,F,2LPNY,427699,1850,3,10
Mark Bradley,35,M,9LPNZ,162476,925,1,5
Crystal Patel,49,F,10LPNX,732125,1480,2,8
Monica Cisneros,42,F,4LPNX,495577,185,1,1
Michael Walker,32,M,6LPNW,176862,0,1,0
Sean Ward,39,M,10LPNX,287160,0,1,0
Joseph Skinner,18,M,8LPNX,838112,1110,2,6
Leonard Buck,29,M,7LPNX,722225,555,1,3
Stephanie Foster,43,F,5LPNX,390225,0,1,0
Taylor Smith,29,F,9LPNW,559412,370,1,2
Michelle Bridges,34,F,1LPNW,443913,370,1,2
Brett Rios,34,M,9LPNW,596537,1110,2,6
Emily Ryan,26,F,10LPNX,805974,0,3,0
Amanda Robertson,46,F,7LPNX,720826,1850,3,10
Phillip Salas,47,M,2LPNZ,700582,555,3,3
Victoria Gutierrez,40,F,4LPNW,929237,1480,2,8
Lucas Davis,49,M,1LPNZ,851388,1480,2,8
James Reyes,32,M,8LPNZ,989341,1110,3,6
Diane Sharp,47,F,7LPNW,476876,1665,2,9
Phillip Smith,25,M,3LPNW,451400,1480,2,8
Daniel Cortez,42,M,3LPNY,729337,185,3,1
Scott Ferguson,43,M,1LPNZ,317032,1110,3,6
Ashley Moore,46,F,7LPNW,497612,925,1,5
Michele Barker,35,F,9LPNY,351477,370,3,2
Patricia Martinez,29,F,9LPNY,880392,370,1,2
Ann Klein,47,F,7LPNY,385868,185,3,1
Vanessa Hudson,25,F,9LPNW,698366,1480,3,8
Nicholas Mercado,38,M,4LPNZ,369004,740,2,4
Anna Campbell,22,F,5LPNX,187983,2590,3,14
Martin Webster,43,M,7LPNZ,757431,925,2,5
Jose Herman,31,M,3LPNZ,751828,1480,3,8
Jason Carter,26,M,4LPNW,967280,1480,3,8
Matthew Reid,45,M,10LPNW,393670,1665,3,9
Billy Swanson,28,M,1LPNY,454455,740,1,4
Max Newton,47,M,6LPNX,497702,1480,2,8
Isaac Macdonald,42,M,7LPNY,236206,925,3,5
Joe Norman,35,M,4LPNW,393115,2405,3,13
Ann Thompson,33,F,2LPNZ,904197,370,3,2
James Woods,18,M,1LPNW,644125,185,3,1
Linda Smith,42,F,4LPNW,205569,370,1,2
Stephanie Griffin,47,F,8LPNZ,890278,370,3,2
Kathy White,41,F,3LPNW,553374,1295,2,7
Kelsey Barnett,37,F,3LPNZ,844557,1850,2,10
Justin Miller,23,M,9LPNX,796345,740,1,4
Mark Bryan,50,M,6LPNW,660854,370,1,2
Bailey Williams,35,F,2LPNY,339887,1850,2,10
Linda Rivas,44,F,1LPNY,480260,740,3,4
Sarah Morgan,48,F,2LPNX,620943,2405,3,13
Elizabeth Johnson MD,33,F,8LPNX,914979,2405,3,13
Miranda Brown,45,F,1LPNX,147329,555,3,3
Mr. Austin Brown,26,M,1LPNW,734991,370,3,2
Tammy Calderon,46,F,6LPNY,166582,0,1,0
Nicholas Ramirez,20,M,8LPNZ,741759,1665,3,9
Sarah Graham,40,F,7LPNW,374379,1850,3,10
Carol Ewing,28,F,7LPNZ,697259,555,1,3
Lindsay Brooks MD,49,F,7LPNX,735652,555,1,3
John Edwards,19,M,5LPNZ,499130,555,1,3
Donna Moore,42,F,6LPNY,868807,0,1,0
Rebecca Robinson,39,F,6LPNX,291309,740,1,4
Katie Chavez,39,F,5LPNY,985663,1480,2,8
Lisa Simpson,46,F,3LPNW,707949,0,1,0
Joseph Haynes,20,M,5LPNW,255569,370,1,2
Mark Nolan,29,M,5LPNY,775843,555,1,3
Eric Noble,23,M,2LPNZ,223836,1665,3,9
Brandon Wallace,36,M,10LPNZ,987613,1110,2,6
Adam Thomas,30,M,4LPNX,729599,185,1,1
Eric Rogers,39,M,8LPNW,751657,555,1,3
Sarah Bradley,47,F,6LPNX,529099,185,1,1
Jennifer Nelson,22,F,10LPNX,195766,185,1,1
Brittany Duncan,29,F,7LPNX,130434,2035,3,11
James Robertson,19,M,3LPNW,549095,740,1,4
Patricia Harrison,44,F,7LPNY,781868,1110,2,6
Jessica Moore,20,F,4LPNX,750754,555,1,3
Miranda Colon,23,F,4LPNX,773549,1110,2,6
Angelica Marshall,23,F,5LPNW,643104,1295,2,7
John Krueger,29,M,10LPNZ,887944,370,1,2
Kathleen Jones,34,F,3LPNZ,606059,740,3,4
Harold Torres,44,M,7LPNW,234088,555,2,3
Shawn Ward,44,M,8LPNZ,451715,370,2,2
Manuel Munoz,39,M,8LPNX,449720,555,1,3
Stacey Farmer,34,F,1LPNW,361390,555,1,3
Michael Buck,18,M,1LPNX,598274,0,1,0
Brandon Thompson,48,M,4LPNZ,514946,185,2,1
James Mitchell,21,M,9LPNY,162978,555,3,3
Charles Dixon,29,M,1LPNZ,822171,370,2,2
Frederick Johnson,29,M,3LPNY,903966,2035,3,11
Nicole Young,33,F,3LPNZ,227131,370,1,2
Margaret Patel,50,F,8LPNW,517989,0,1,0
Rhonda Holden,47,F,5LPNY,647972,555,3,3
Shawn Carey,47,M,7LPNY,870618,740,1,4
Zachary Berry,24,M,6LPNZ,797025,0,3,0
Deanna Jones,43,F,2LPNX,938228,2405,3,13
Karina Parker,49,F,9LPNZ,246254,1850,3,10
Steven Michael,48,M,8LPNW,350904,925,2,5
Christy Lewis,23,F,9LPNX,152036,370,1,2
William Armstrong,40,M,8LPNX,629804,1480,2,8
Andrew Joseph,29,M,7LPNX,515348,370,1,2
Kimberly Lynch,42,F,10LPNZ,533204,2590,3,14
Gabriel Brooks,19,M,10LPNX,571374,1665,2,9
Christopher Ward,40,M,1LPNW,261965,740,2,4
David Adams,21,M,7LPNY,108863,740,1,4
Mrs. Erin Hopkins,26,F,7LPNZ,888216,370,1,2
Matthew Sparks,19,M,1LPNZ,236212,555,2,3
Karen Snyder,25,F,2LPNY,890408,1480,2,8
Brian Cohen,39,M,2LPNX,471683,1110,3,6
Max Murray,49,M,8LPNW,138555,0,1,0
Tom Acevedo,25,M,3LPNZ,245836,555,1,3
Jeffrey Davis,27,M,3LPNY,910617,2775,3,15
Christina Hall,28,F,4LPNX,516319,1850,2,10
Carl Buckley,21,M,5LPNZ,122953,0,1,0
Katelyn Smith,46,F,6LPNW,343343,2405,3,13
Dawn Webb,21,F,1LPNZ,598589,2405,3,13
Michael Mitchell,46,M,4LPNX,553437,370,3,2
Courtney Thomas,30,F,1LPNW,485013,2775,3,15
Joshua Goodwin,28,M,8LPNY,698709,370,3,2
Mark Butler,26,M,9LPNY,326051,925,1,5
Megan Rogers,37,F,6LPNY,401308,740,1,4
Curtis Flores,49,M,8LPNX,571790,1110,3,6
Nicholas White,43,M,3LPNY,483761,555,2,3
Ashley Beltran,41,F,2LPNZ,829674,2035,3,11
David Marshall,47,M,9LPNW,345480,555,1,3
Cindy Rodriguez,18,F,1LPNY,371355,2590,3,14
Brad Graham,48,M,4LPNZ,522729,0,2,0
Erica Norris,47,F,2LPNW,762377,555,1,3
Jessica Lopez,35,F,9LPNY,217055,0,1,0
Jocelyn Campbell,22,F,6LPNY,629655,1110,3,6
Eric Scott,49,M,6LPNW,920120,185,1,1
William Zamora,30,M,10LPNW,485595,740,2,4
Tracie Spencer,45,F,5LPNW,715392,1480,3,8
Christina Avila,19,F,9LPNY,106720,370,2,2
Jeffrey Avila,36,M,4LPNW,848026,185,1,1
Jerry Richardson,31,M,5LPNX,120995,925,2,5
John Moore,47,M,9LPNW,755130,740,2,4
Mr. Christopher Santana,44,M,1LPNY,479180,2220,3,12
Angela Jones,38,F,5LPNZ,748322,925,1,5
Adam Lynch,24,M,8LPNZ,954138,1480,2,8
Susan Molina,31,F,7LPNY,554650,1850,3,10
Glenn Murphy,34,M,6LPNZ,285112,1665,3,9
Thomas Cruz,46,M,10LPNW,754960,1665,3,9
Jason Young,49,M,9LPNY,301585,555,3,3
Melissa Adams,26,F,2LPNX,267443,0,3,0
Diamond Williams,46,F,9LPNX,152392,555,1,3
Erik Brown,49,M,7LPNX,167384,185,1,1
Megan Sanchez MD,18,F,8LPNZ,420444,370,1,2
Krista Randall,32,F,1LPNW,686589,185,2,1
Sarah Jones,44,F,10LPNY,417344,1295,2,7
Keith Doyle,33,M,10LPNZ,188341,2775,3,15
Stephanie Miller,43,F,4LPNZ,830932,1480,2,8
Jennifer Allen,37,F,2LPNY,442544,1480,2,8
Kent Klein,43,M,7LPNY,769003,1480,2,8
Erin Smith,24,F,2LPNX,346055,185,1,1
Mark Moreno,26,M,1LPNZ,776939,370,2,2
Sara Fuller,31,F,6LPNW,832881,740,1,4
Mary Williams,43,F,8LPNX,658513,1110,2,6
Jason Walls,18,M,8LPNX,320652,1850,2,10
Amber Grant,32,F,6LPNY,116646,185,1,1
Michele Young,41,F,8LPNW,870248,1850,3,10
Natalie Johnson,37,F,6LPNZ,498560,2035,3,11
Stephanie Thompson,31,F,8LPNW,946887,0,3,0
David Coleman,39,M,3LPNW,621821,185,3,1
Sara Shea,35,F,8LPNZ,556066,0,3,0
Julia Weber,26,F,1LPNW,714433,740,1,4
Joy Thompson,33,F,7LPNX,214246,740,3,4
Sandra Weber,26,F,1LPNY,191482,0,3,0
Alexander Patel,21,M,7LPNX,197503,1850,3,10
Melanie Burgess MD,24,F,6LPNW,852912,925,2,5
Teresa Lawrence,31,F,3LPNZ,293124,2220,3,12
Cathy Buchanan,30,F,5LPNZ,137202,925,1,5
Angela Martinez,43,F,5LPNY,162050,370,1,2
Lindsay Peterson,23,F,9LPNX,682788,2405,3,13
John Anderson,25,M,4LPNY,954731,1665,3,9
Jeffrey Erickson,18,M,7LPNX,216515,0,1,0
Christopher Cortez,38,M,1LPNY,719213,2775,3,15
Michaela Irwin,21,F,10LPNZ,288413,555,3,3
Paul Shaw,32,M,3LPNY,255131,2775,3,15
Julia Smith,21,F,3LPNW,116913,925,1,5
Dawn Hansen,36,F,8LPNY,561745,1850,2,10
Lawrence Gomez,39,M,8LPNY,905173,185,1,1
Charles Brown,41,M,4LPNZ,611396,1295,2,7
Kenneth Carroll,34,M,10LPNW,470970,0,1,0
Patricia Parker,24,F,3LPNZ,117630,740,1,4
Michelle Price,22,F,5LPNX,152229,2775,3,15
Jessica Phelps,39,F,6LPNW,617042,185,3,1
Charles Thomas,18,M,2LPNX,816245,1295,3,7
Jasmine Morris,45,F,1LPNY,726357,925,3,5
Janice Goodman,35,F,9LPNW,689524,0,1,0
Rodney Cook,46,M,6LPNX,920902,740,1,4
Brian Park PhD,44,M,1LPNW,216930,740,1,4
Christina Carter,23,F,2LPNY,749900,0,3,0
Victor Bennett,34,M,5LPNY,861689,1295,3,7
Darin Browning,50,M,9LPNW,375403,0,1,0
Bridget Austin,18,F,6LPNW,821558,370,2,2
Tara Williams,39,F,5LPNW,619277,1665,2,9
Ronald Young,40,M,6LPNX,278876,2590,3,14
Amanda Moore,20,F,8LPNZ,833467,370,1,2
Kelly Hernandez,38,F,2LPNX,674422,2590,3,14
Janet Cruz,29,F,7LPNY,181284,925,1,5
Frances Mendez,44,F,7LPNW,584595,555,1,3
Mrs. Nicole Watson,28,F,3LPNX,835952,925,1,5
Amy Barajas,30,F,9LPNX,439973,925,1,5
Jose Gonzales,33,M,5LPNX,850147,370,1,2
Nathaniel Barry,27,M,10LPNZ,833662,555,3,3
Eric Morgan,45,M,3LPNY,662620,1480,2,8
Caitlin Wilson,41,F,9LPNZ,562363,2035,3,11
Joshua Mcdonald,20,M,1LPNY,586900,370,1,2
Sarah Edwards,36,F,6LPNY,120049,1295,2,7
Amy Fields,44,F,5LPNY,935890,0,1,0
Sarah James,22,F,2LPNX,547825,2775,3,15
Glen Vaughn,32,M,3LPNZ,983546,1665,3,9
David Valencia,18,M,6LPNX,362543,925,1,5
Gregory Reyes,42,M,2LPNW,678687,370,3,2
Julie Kane,21,F,10LPNW,330530,925,2,5
Jessica Valdez,26,F,4LPNX,478886,925,1,5
Dennis Wolfe,42,M,9LPNX,945999,2220,3,12
Michelle Sutton,20,F,4LPNX,728045,2775,3,15
Mark Griffin,27,M,6LPNX,963609,740,1,4
Meredith Lee,49,F,5LPNX,597045,555,3,3
Christine Miller,44,F,8LPNX,641476,925,1,5
Thomas Huang,47,M,2LPNW,663793,2590,3,14
Christine Adams,23,F,9LPNZ,536171,1850,2,10
Alisha Bryant,49,F,6LPNW,741881,925,1,5
Jacob Lopez,22,M,5LPNX,546271,1850,3,10
Samantha Miller,29,F,4LPNZ,315689,370,2,2
Lisa Cross,21,F,6LPNZ,764889,555,1,3
